Title,Authors,Year,Journal,Citations,URL
Artificial intelligence,['EB Hunt'],2014,N/A,383,N/A
Artificial intelligence in medicine,"['J Holmes', 'L Sacchi', 'R Bellazzi']",2004,N/A,1238,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1964229/pdf/15333167.pdf
Artificial intelligence,['PH Winston'],1992,N/A,2830,N/A
Quo vadis artificial intelligence?,"['Y Jiang', 'X Li', 'H Luo', 'S Yin', 'O Kaynak']",2022,N/A,372,https://link.springer.com/article/10.1007/s44163-022-00022-8
What is artificial intelligence?,"['JH Fetzer', 'JH Fetzer']",1990,N/A,420,N/A
Causability and explainability of artificial intelligence in medicine,"['A Holzinger', 'G Langs', 'H Denk']",2019,N/A,1500,https://wires.onlinelibrary.wiley.com/doi/full/10.1002/widm.1312
Introduction to artificial intelligence,['W Ertel'],2024,N/A,971,https://thuvienso.hoasen.edu.vn/bitstream/handle/123456789/10507/Contents.pdf?sequence=1&isAllowed=y
Artificial intelligence in medicine,"['P Hamet', 'J Tremblay']",2017,N/A,2465,https://jmai.amegroups.org/article/view/8560/html
Artificial intelligence,['PH Winston'],1984,N/A,4919,N/A
Artificial intelligence,['MA Boden'],1996,N/A,250,https://www.cl.cam.ac.uk/teaching/2021/ArtInt/ai-2021-bw.pdf
What is artificial intelligence,['J McCarthy'],2007,N/A,2722,http://cse.unl.edu/~choueiry/S09-476-876/Documents/whatisai.pdf
Introduction to artificial intelligence,['PC Jackson'],2019,N/A,495,https://www.everand.com/book/271648175/Introduction-to-Artificial-Intelligence-Second-Enlarged-Edition
Introduction to artificial intelligence,['E Charniak'],1985,N/A,3200,https://www.researchgate.net/profile/Peter-Cheeseman/publication/24154867_Introduction_to_artificial_intelligence/links/56eae3ae08aec6b500166171/Introduction-to-artificial-intelligence.pdf
Artificial intelligence: a modern approach,"['SJ Russell', 'P Norvig']",2016,N/A,65422,https://thuvienso.hoasen.edu.vn/bitstream/handle/123456789/8967/Contents.pdf?sequence=3
Principles of artificial intelligence,['NJ Nilsson'],2014,N/A,9468,https://stacks.stanford.edu/file/druid:zd294jv9941/zd294jv9941.pdf
Introduction to artificial intelligence,['M Flasiński'],2016,N/A,334,N/A
The quest for artificial intelligence,['NJ Nilsson'],2009,N/A,2047,https://www.academia.edu/download/34400536/ai.pdf
Artificial intelligence and medicine,['P Szolovits'],2019,N/A,465,https://groups.csail.mit.edu/medg/ftp/psz/AIM82/ch1.html
History of artificial intelligence in medicine,"['V Kaul', 'S Enslin', 'SA Gross']",2020,N/A,829,https://www.giejournal.org/article/S0016-5107(20)34466-7/fulltext
Steps toward artificial intelligence,['M Minsky'],1961,N/A,3196,https://rodsmith.nz/wp-content/uploads/Minsky-steps-towards-artificial-intelligence-1.pdf
Artificial intelligence,['N Michael'],2005,N/A,162,N/A
"Artificial intelligence, for real","['E Brynjolfsson', 'A Mcafee']",2017,N/A,1414,https://starlab-alliance.com/wp-content/uploads/2017/09/AI-Article.pdf
Artificial intelligence: the basics,['K Warwick'],2013,N/A,343,N/A
Overview of artificial intelligence in medicine,"['P Malik', 'M Pathania', 'VK Rathaur']",2019,N/A,1033,https://journals.lww.com/jfmpc/fulltext/2019/08070/Overview_of_artificial_intelligence_in_medicine.27.aspx
The philosophy of artificial intelligence,['MA Boden'],1990,N/A,948,N/A
An artificial intelligence approach,"['R Mitchell', 'J Michalski', 'T Carbonell']",2013,N/A,196,N/A
Introduction to artificial intelligence in medicine,"['Y Mintz', 'R Brodie']",2019,N/A,791,N/A
Artificial intelligence,"['S Bringsjord', 'NS Govindarajulu']",2018,N/A,61,https://plato.stanford.edu/entries/artificial-intelligence/?ref=thinkml.ai
Managing artificial intelligence.,"['N Berente', 'B Gu', 'J Recker', 'R Santhanam']",2021,N/A,909,https://www.academia.edu/download/75230000/Berente_Gu_Recker_Santhanam_2021_MISQ.pdf
Artificial intelligence: a guide to intelligent systems,['M Negnevitsky'],2005,N/A,4656,https://repository.unimal.ac.id/899/1/Artificial%20Intelligence%20-%20A%20Guide%20to%20Intelligent%20Systems%202nd%20Ed%20-%20Michael%20Negnevitsky%20(2005).pdf
Artificial intelligence: A philosophical introduction,['J Copeland'],1993,N/A,1230,N/A
Artificial intelligence for the metaverse: A survey,"['T Huynh-The', 'QV Pham', 'XQ Pham', 'TT Nguyen']",2023,N/A,268,https://arxiv.org/pdf/2202.10336
The handbook of artificial intelligence,"['A Barr', 'EA Feigenbaum', 'PR Cohen']",1981,N/A,3802,N/A
Essentials of artificial intelligence,['M Ginsberg'],2012,N/A,599,N/A
What to expect from artificial intelligence,"['A Agrawal', 'J Gans', 'A Goldfarb']",2017,N/A,408,https://agrawal.ca/s/What-to-Expect-From-Artificial-Intelligence-b88l.pdf
A literature review on artificial intelligence,['SA Oke'],2008,N/A,165,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f4dfcfe3f132b1079d054e2db29adc063fab0007
Some philosophical problems from the standpoint of artificial intelligence,"['J McCarthy', 'PJ Hayes']",1981,N/A,6389,http://www-formal.stanford.edu/jmc/mcchay69.pdf
Fundamentals of artificial intelligence,['KR Chowdhary'],2020,N/A,373,N/A
Artificial intelligence,['B Whitby'],2009,N/A,108,N/A
Artificial intelligence as craftwork,"['LA Suchman', 'RH Trigg']",1993,N/A,241,N/A
Artificial intelligence in medicine: today and tomorrow,"['G Briganti', 'O Le Moine']",2020,N/A,654,https://www.frontiersin.org/articles/10.3389/fmed.2020.00027/full?trk=article-ssr-frontend-pulse_x-social-details_comments-action_comment-text
Affect and artificial intelligence,['EA Wilson'],2011,N/A,222,N/A
Artificial intelligence for the real world,"['TH Davenport', 'R Ronanki']",2018,N/A,2150,https://blockqai.com/wp-content/uploads/2021/01/analytics-hbr-ai-for-the-real-world.pdf
Brain intelligence: go beyond artificial intelligence,"['H Lu', 'Y Li', 'M Chen', 'H Kim', 'S Serikawa']",2018,N/A,1398,https://arxiv.org/pdf/1706.01040
