Title,Authors,Year,Journal,Citations,URL
Machine learning algorithms-a review,['B Mahesh'],2020,N/A,3519,https://www.researchgate.net/profile/Batta-Mahesh/publication/344717762_Machine_Learning_Algorithms_-A_Review/links/5f8b2365299bf1b53e2d243a/Machine-Learning-Algorithms-A-Review.pdf?eid=5082902844932096t
Machine learning,['E Alpaydin'],2021,N/A,1158,https://cs.pomona.edu/~dkauchak/classes/s16/cs30-s16/lectures/lecture12-NN-basics.pdf
Machine learning,['ZH Zhou'],2021,N/A,2720,N/A
"Machine learning: Trends, perspectives, and prospects","['MI Jordan', 'TM Mitchell']",2015,N/A,10144,http://www.cs.cmu.edu/~tom/pubs/Science-ML-2015.pdf
What is machine learning?,"['I El Naqa', 'MJ Murphy']",2015,N/A,1521,https://repository.kaust.edu.sa/server/api/core/bitstreams/798f4362-602a-47d4-91a3-c52e45358ed7/content
Machine learning,['TG Dietterich'],1990,N/A,263,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=417f55320080fea71d491a18318dad6572b2fa8c
Machine learning,"['TM Mitchell', 'TM Mitchell']",1997,N/A,39823,http://www.pachecoj.com/courses/csc380_fall21/lectures/mlintro.pdf
Machine learning and law: An overview,['H Surden'],2021,N/A,894,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2417415
Machine learning basics,"['H Wang', 'Z Lei', 'X Zhang', 'B Zhou', 'J Peng']",2016,N/A,1870,http://whdeng.cn/Teaching/PPT_01_Machine%20learning%20Basics.pdf
What is machine learning? A primer for the epidemiologist,"['Q Bi', 'KE Goodman', 'J Kaminsky']",2019,N/A,630,https://sph.umsha.ac.ir/uploads/18/2023/May/22/kwz189.pdf
On applied research in machine learning,"['F Provost', 'R Kohavi']",1998,N/A,354,https://ai.stanford.edu/~ronnyk/editorial.pdf
Encyclopedia of machine learning,"['C Sammut', 'GI Webb']",2011,N/A,2418,N/A
International conference on machine learning,"['W Li', 'C Wang', 'G Cheng', 'Q Song']",2023,N/A,1644,https://par.nsf.gov/servlets/purl/10418406
