Title,Authors,Year,Journal,Citations,URL
Neural networks,"['H Abdi', 'D Valentin', 'B Edelman']",1999,N/A,312,N/A
An introduction to neural networks,['K Gurney'],2018,N/A,3342,https://www.macs.hw.ac.uk/~yjc32/project/ref-NN/Gurney_et_al.pdf
Neural networks and their applications,['CM Bishop'],1994,N/A,1341,https://scholar.archive.org/work/ap3r3qne3bgqvjveor6j2ihhl4/access/wayback/http://www.stat.purdue.edu/~zdaye/Readings/Neural_Networks_and_Their_Applications.pdf
An introduction to neural networks,['JA Anderson'],1995,N/A,2202,N/A
Neural networks: an introduction,"['B Müller', 'J Reinhardt', 'MT Strickland']",2012,N/A,1429,N/A
Neural networks in civil engineering: 1989–2000,['H Adeli'],2001,N/A,1111,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3c03bbe769227332b1ab78ccc42d7ecbe927138d
Introduction to neural networks,['J Lawrence'],1993,N/A,589,N/A
Overview of artificial neural networks,"['J Zou', 'Y Han', 'SS So']",2009,N/A,696,N/A
Tensorizing neural networks,"['A Novikov', 'D Podoprikhin', 'A Osokin']",2015,N/A,1067,https://proceedings.neurips.cc/paper/2015/file/6855456e2fe46a9d49d3d3af4f57443d-Paper.pdf
A comprehensive foundation,"['S Haykin', 'N Network']",2004,N/A,1380,https://www.academia.edu/download/31041191/71836187.pdf
Artificial neural networks,['B Yegnanarayana'],2009,N/A,2338,N/A
Neural networks theory,['AI Galushkin'],2007,N/A,528,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c1305be1e9564005d113a4e21712778f985c8108
The basic ideas in neural networks,"['DE Rumelhart', 'B Widrow', 'MA Lehr']",1994,N/A,714,N/A
iNNvestigate neural networks!,"['M Alber', 'S Lapuschkin', 'P Seegerer', 'M Hägele']",2019,N/A,437,https://www.jmlr.org/papers/volume20/18-540/18-540.pdf
Slimmable neural networks,"['J Yu', 'L Yang', 'N Xu', 'J Yang', 'T Huang']",2018,N/A,671,https://arxiv.org/pdf/1812.08928
